link_text,main_image_src,description_text
2:04,,"A few people, on social media, shared AI-generated images and edited videos, claiming that they were shot by India's Chandrayaan-3.  Farmers in Maharashtra have been protesting, seeking a rollback of the 40 per cent export duty on onions. Indian Grand Master R Praggnanandhaa drew his first game with the legendary Magnus Carlsen. The Lok Sabha members alleged they were not extended due courtesy, including access to reserve lounge at airports. Ahead of the Telangana Assembly polls, the BRS said that it does not consider the BJP's claim to power as a threat. "
"Joe Biden to visit India from September 7-10, to laud PM Modi's G20 leadership",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/joe-biden-to-visit-india-224525-16x9.jpg?VersionId=OlWfbR1xg5vlruOD9LW8uZI1sWAB7X72&size=690:388,"Listen to Story United States President Joe Biden will visit India from September 7 to 10 for the  . Biden will discuss a range of global issues during the summit, such as a clean energy transition, climate change, the impacts of the Ukraine war, and boosting the capabilities of multilateral development banks, including the World Bank. According to a press release issued by the White House, Biden will also commend Prime Minister Narendra Modi's G20 leadership. “President Biden and G20 partners will discuss a range of joint efforts to tackle global issues, including the clean energy transition and combatting climate change, mitigating the economic and social impacts of Putin’s war in Ukraine, and increasing the capacity of multilateral development banks, including the World Bank, to better fight poverty, including by addressing global challenges,” said the White House press release. Commending India’s presidency, the release said, “While in New Delhi, President Biden will also commend Prime Minister Modi’s leadership of the G20 and reaffirm the U.S. commitment to the G20 as the premier forum of economic cooperation, including by hosting it in 2026.” India assumed the G20 Presidency on December 1, 2022, from Indonesia. The G20 world leaders' summit is scheduled to be held in New Delhi on September 9 and 10. The summit is expected to be one of the largest gatherings of world leaders in India.  All   and municipal corporation in the national capital will remain shut on September 8, 9 and 10 in view of the summit. Meanwhile, US Vice President Kamala Harris will be attending the U.S.-ASEAN Summit and the East Asia Summit in Jakarta, Indonesia.  Her engagement will focus on shared prosperity, security, the climate crisis, maritime security, sustainable economic growth, and the enforcement of international rules in the region, the White House release said."
Videos,,"Asia Cup 2023: KL Rahul was named in India's 17-man squad for Asia Cup 2023. However, chief selector Ajit Agarkar revealed that the star batter picked up a niggle and might not be available for India's opener against Pakistan on September 2. According to sources, Apple recently conducted an extensive meeting with officials from the Ministry of Finance. India's space agency, Isro, is set to make history again as Chandrayaan-3 prepares for a soft-landing on the moon's surface. A few people, on social media, shared AI-generated images, claiming that they were shot by India's Chandrayaan-3.  Farmers in Maharashtra have been protesting, seeking a rollback of the 40 per cent export duty on onions. Indian Grand Master R Praggnanandhaa drew his first game with the legendary Magnus Carlsen. The Lok Sabha members alleged they were not extended due courtesy, including access to reserve lounge at airports. Indians eagerly await Chandrayaan-3's soft-landing on the moon's south polar region on Wednesday. Ahead of the Telangana Assembly polls, the BRS said that it does not consider the BJP's claim to power as a threat.  Speaking to India Today's Consulting Editor Rajdeep Sardesai, legendary Viswanathan Anand said R Praggnanandhaa's tenacity and good decision-making skills under pressure make him one of the finest young talents in the world of chess. "
24:41,,"According to sources, Apple recently conducted an extensive meeting with officials from the Ministry of Finance. The aim was to discuss setting up iPhone manufacturing operations in the country. India's space agency, Isro, is set to make history again as Chandrayaan-3 prepares for a soft-landing on the moon's surface. A few people, on social media, shared AI-generated images, claiming that they were shot by India's Chandrayaan-3.  Farmers in Maharashtra have been protesting, seeking a rollback of the 40 per cent export duty on onions. Indian Grand Master R Praggnanandhaa drew his first game with the legendary Magnus Carlsen."
4:11,,"Days after the central government imposed a 40 per cent export duty on onions to restrict outward shipments and boost the local availability, farmers in Maharashtra have been protesting, seeking a rollback of the export duty. The farmers are now mulling a nation-wide agitation. Indian Grand Master R Praggnanandhaa drew his first game with the legendary Magnus Carlsen. The Lok Sabha members alleged they were not extended due courtesy, including access to reserve lounge at airports. Ahead of the Telangana Assembly polls, the BRS said that it does not consider the BJP's claim to power as a threat.  Speaking to India Today's Consulting Editor Rajdeep Sardesai, legendary Viswanathan Anand said R Praggnanandhaa's tenacity and good decision-making skills under pressure make him one of the finest young talents in the world of chess. "
05,,"At a recent event, Kiran Rao and Reena Dutta were seen together.  The duo attended a book launch event held by Mansoor Khan at Title Waves, Bandra, Mumbai.  Kiran and Reena's ex-husband, Aamir Khan, also attended the book launch.  Both Kiran and Reena were seen in high spirits as they greeted each other. Junaid Khan, son of Aamir Khan and Reena Dutta, was also seen at the event. "
06,,"Ananya Panday is busy promoting her upcoming film 'Dream Girl 2'. The diva is doing in utmost style. The actress slipped into this exquisite neo-traditional Anamika Khanna ensemble for a promotional event. Doesn't she look gorgeous?  What she wore was a metallic bralette teamed with an embellished green cape and a matching skirt. Her heavy earrings and sparkling juttis added to the glam. For another event, Ananya slipped into a bewitching ivory lehenga set from the label Sawan Gandhi. The ethnic ensemble featured a sequinned blouse and a matching lehenga skirt. Keeping the monotone vibe intact, Ananya completed the look with an ivory dupatta and an assemblage of diamond jewels. Her minimal makeup and sleek hairbun beautifully rounded off her look."
27:07,,"On today's episode of India First, Senior Executive Editor, Gaurav Samant discusses India's space journey and its space agency, Isro's achievements over the years. India's space agency, Isro, is set to make history again as Chandrayaan-3 prepares for a soft-landing on the moon's surface. A few people, on social media, shared AI-generated images, claiming that they were shot by India's Chandrayaan-3.  Farmers in Maharashtra have been protesting, seeking a rollback of the 40 per cent export duty on onions. Indian Grand Master R Praggnanandhaa drew his first game with the legendary Magnus Carlsen. The Lok Sabha members alleged they were not extended due courtesy, including access to reserve lounge at airports."
"Some iPhones will not get iOS 17 update next month, check if your phone is in the list ",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/iphone-se-4-141109-16x9_2.jpg?VersionId=uSMAhXzUKXcTRku3_.3jhmMlV1syXEvc&size=690:388,"Listen to Story Apple is gearing up to launch its new iOS 17 software in September, which is set to bring host of updates along with some exciting features. However, only select iPhone models will get the new iOS 17 update. People who are still using the older iPhones will not get to experience the iOS 17. For example, if you own an iPhone X or the iPhone 7 from 2017 or an older model, you might miss out on these updates. The new software introduces a Standby mode, a Journal app, and significant enhancements to Messages. To find out if your iPhone is compatible with iOS 17, there's an easy way to check. Open your Settings app, go to General, and then tap on About. You'll see the Model Name, which will tell you what iPhone version you have. If you're eager to test out iOS 17, you can access the public beta version now. Additionally, you can explore our list of the best iPhones to see if there's a newer model that suits your needs. 
Here's a list of iPhones that will be able to run iOS 17 once it's released later this year, as confirmed by Apple: --iPhone XS 
--iPhone XS Max 
--iPhone XR 
--iPhone 11 
--iPhone 11 Pro 
--iPhone 11 Pro Max 
--iPhone 12 
--iPhone 12 Mini 
--iPhone 12 Pro 
--iPhone 12 Pro Max 
--iPhone 13 
--iPhone 13 Mini 
--iPhone 13 Pro 
--iPhone 13 Pro Max 
--iPhone SE (second generation and later) 
--iPhone 14 (including Plus) 
--iPhone 14 Pro If your iPhone model isn't listed above, it won't be compatible with iOS 17, and you won't receive a notification to update to the new software. For example, if you own an iPhone X or an older version, the latest software you can use on that phone is iOS 16. So, if you're looking forward to the new features of iOS 17, it might be a good time to consider upgrading to a more recent iPhone model. Along with the iOS 17,  Apple is expected to launch the iPhone 15 range at an event in September 2023. The iPhone 15 lineup is rumored to consist of four models: the iPhone 15, iPhone 15 Plus, iPhone 15 Pro, and iPhone 15 Pro Max. The iPhone 15 and iPhone 15 Plus are expected to have 6.1-inch and 6.7-inch displays, respectively, while the iPhone 15 Pro and iPhone 15 Pro Max are expected to have 6.1-inch and 6.7-inch OLED displays with ProMotion technology. All four models are expected to be powered by the A17 Bionic chip. 
In addition to the iPhone 15, Apple is also rumored to launch new Apple Watches and AirPods at its September event. The new Apple Watch Series 9 is expected to have a faster processor and a new design, while the new AirPods Pro 2 are expected to have improved sound quality and active noise cancellation."
PHOTOS,,
Rihanna welcomes second baby with A$AP Rocky: Reports,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/rihanna-welcomes-second-baby-with-aap-rocky-224008-16x9.png?VersionId=UQHEfjsmk9mDYFcYlU_EX47EjWnXNw4P&size=690:388,"Listen to Story Rihanna has given birth to a baby boy, her second child with rapper A$AP Rocky, a report said Monday. The music megastar and beauty entrepreneur became a mother for the second time at the start of the month, entertainment outlet TMZ said. ""Sources with direct knowledge tell us the baby arrived August 3rd in Los Angeles,"" TMZ said. ""We don't yet know the kiddo's name, but we do know it starts with 'R' and it's a boy."" The ""Lift me up"" singer welcomed her first child, a son, in May last year. And she wordlessly announced her second pregnancy at this year's Super Bowl in Arizona, proudly displaying her baby bump to a global audiences of hundreds of millions. Since releasing ""Anti"" in early 2016, Robyn Rihanna Fenty has taken a break from recording but has by no means taken it easy: she's become a billionaire, parlaying her music achievements into successful makeup, lingerie and high-fashion brands. Since her last album Rihanna has performed occasional features and more recently recorded music for the ""Black Panther: Wakanda Forever"" soundtrack"
"Samsung now allows iOS users to create fake Galaxy Fold with two iPhones, here is how ",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/samsung-try-galaxy-app-222220-16x9.jpg?VersionId=i2O5VYJfzcvqVCJdLJPNvb4.ZH1gyIl_&size=690:388,"Listen to Story Samsung is known for its playful rivalry with Apple, and the company never misses an opportunity to mock its Cupertino-based rival. Whether it's the 100x zoom of the Galaxy S23 Ultra or the reign of its flip and foldable phones, Samsung is always quick to point out Apple's lack of innovation. In short, Samsung is always up to show iOS users the good of Android and draw them to the ""Flip side."" The company's latest move is no different. Samsung recently released its new generation of flip and foldable phones, the Galaxy Z Flip 5 and Fold 5. And just like clockwork, the company has started teasing Apple users about what they're missing out on. But this time it's not just the advertisement and photos but Samsung is offering a free trial of what it looks like to be a Galaxy user. To be more precise, Samsung is offering a virtual try out of Galaxy UI in iPhones with its app ""Try Galaxy"".  Through Samsung's Try Galaxy app, iPhone users can feel what Galaxy phone offers. The app was originally released in 2020, but it has recently been updated to allow iPhone users to slap two iPhones together to create a ""fake"" Galaxy Fold.  In terms of how the app works, it essentially starts a simulation of the Galaxy phone on the iPhone. Once started, the virtual Galaxy Fold, created using iPhones - requiring the use of two iPhones simultaneously to operate the two screens - will operate in a manner similar to the Galaxy Fold 5. You can open and close apps within the simulation, and you can even utilize the apps that come preinstalled on the phone within Samsung's UI. Furthermore, the update also incorporates app support for up to 20 languages, encompassing Korean, Czech, Hungarian, Latin American Spanish, and Russian. To use the Samsung Galaxy ""Try Galaxy"" app: 
- Visit trygalaxy.com/ 
- Add the app to your iPhone's home screen. 
- Launch the app and tap on ""Try Fold."" 
- Simultaneously repeat the same process on your second iPhone. 
- The two iPhones will be connected using an in-app code. 
- Once set up, both iPhones will combine into one screen, providing a glimpse of the Samsung Fold phone experience. The Try Galaxy app does more than just let users experience the size and aspect ratio of a Galaxy phone. When the app is in use, it also displays One UI 5.1.1, giving iOS users a taste of what Galaxy users see every day. This includes features like Quick Share and Samsung Health's fitness suite. The app even has an ""experience"" that lets users explore the Galaxy Z Flip and Fold's FlexCam mode, which takes advantage of the inner and outer displays. This is something that is not possible on the iPhone lineup. 
 "
